Id,Label,Type
provide new insights,provide new insights,Purpose
analyze innovation path of IoT,analyze innovation path of IoT,Purpose
perform patent analysis,perform patent analysis,Purpose
create novel applications,create novel applications,Purpose
protect inventions,protect inventions,Purpose
improve productivity,improve productivity,Purpose
reduce production costs,reduce production costs,Purpose
deliver products higher added value,deliver products higher added value,Purpose
examine relative impact,examine relative impact,Purpose
three management options,three management options,Purpose
cryptogenic stroke,cryptogenic stroke,Purpose
patent foramen ovale,patent foramen ovale,Purpose
Identify leading companies in UAM technology,Identify leading companies in UAM technology,Purpose
Develop open innovation strategy,Develop open innovation strategy,Purpose
explore technological routes,explore technological routes,Purpose
technological forecasting,technological forecasting,Purpose
examine China's technological influence,examine China's technological influence,Purpose
Industry 5.0 context,Industry 5.0 context,Purpose
compare to EU and US,compare to EU and US,Purpose
predict future knowledge flow,predict future knowledge flow,Purpose
predict co-citations of patents,predict co-citations of patents,Purpose
technology domain prediction,technology domain prediction,Purpose
explore multiplicative interaction,explore multiplicative interaction,Purpose
clustering reach effect,clustering reach effect,Purpose
members knowledge production,members knowledge production,Purpose
patent value impact,patent value impact,Purpose
assist user analyzing scientific information,assist user analyzing scientific information,Purpose
mapping scientific technical information,mapping scientific technical information,Purpose
complex process analysing large quantities information,complex process analysing large quantities information,Purpose
describe structural characteristics,describe structural characteristics,Purpose
analyze REIN,analyze REIN,Purpose
explore patent cooperative patterns and evolution trends,explore patent cooperative patterns and evolution trends,Purpose
improving BMD,improving BMD,Purpose
understand knowledge diffusion between institutions and countries,understand knowledge diffusion between institutions and countries,Purpose
develop technology,develop technology,Purpose
accelerate technology development,accelerate technology development,Purpose
insight into competition,insight into competition,Purpose
evaluate the contribution of mobile inventors and networks of inventors to the diffusion of knowledge,evaluate the contribution of mobile inventors and networks of inventors to the diffusion of knowledge,Purpose
analyse network structure of technological knowledge flows,analyse network structure of technological knowledge flows,Purpose
investigate relational dynamics,investigate relational dynamics,Purpose
innovation impact,innovation impact,Purpose
openness innovation process,openness innovation process,Purpose
explore technological cooperation structure,explore technological cooperation structure,Purpose
analyze technological cooperation network,analyze technological cooperation network,Purpose
determine current trends,determine current trends,Purpose
basic research,basic research,Purpose
technological development,technological development,Purpose
understand factors influencing technology knowledge evolution,understand factors influencing technology knowledge evolution,Purpose
???????????? ?????,???????????? ?????,Purpose
determine relative merits,determine relative merits,Purpose
pharmacotherapeutic options,pharmacotherapeutic options,Purpose
management PDA,management PDA,Purpose
"Propose application scenarios, architecture diagrams, and patent analysis methods for blockchain-based 5G network technologies","Propose application scenarios, architecture diagrams, and patent analysis methods for blockchain-based 5G network technologies",Purpose
Identify innovation path of blockchain technology from patent perspective,Identify innovation path of blockchain technology from patent perspective,Purpose
Analyze domestic logistics technology changes,Analyze domestic logistics technology changes,Purpose
Examine dynamic flow of logistics technology,Examine dynamic flow of logistics technology,Purpose
investigate differences depending on R&D funding sources,investigate differences depending on R&D funding sources,Purpose
formulate research policy based on empirical results,formulate research policy based on empirical results,Purpose
assess technological development impact on inter-regional knowledge flow hierarchy,assess technological development impact on inter-regional knowledge flow hierarchy,Purpose
Identify knowledge flow,Identify knowledge flow,Purpose
Study growth and advancement,Study growth and advancement,Purpose
propose a method to discover patents similar to each other,propose a method to discover patents similar to each other,Purpose
visualizing the patent portfolio strategy,visualizing the patent portfolio strategy,Purpose
Propose explorative approach to investigating patent risks,Propose explorative approach to investigating patent risks,Purpose
investigate structure and evolution of inter-organizational interaction,investigate structure and evolution of inter-organizational interaction,Purpose
shed light on untapped potential of social network analysis,shed light on untapped potential of social network analysis,Purpose
describe how challenges can be met,describe how challenges can be met,Purpose
enrich literature on clusters and regional innovation systems,enrich literature on clusters and regional innovation systems,Purpose
Analyze impact of patent citation network position on business performance,Analyze impact of patent citation network position on business performance,Purpose
analyze patent data,analyze patent data,Purpose
understand target technology,understand target technology,Purpose
investigate firm's strategic changes,investigate firm's strategic changes,Purpose
assess quality knowledge,assess quality knowledge,Purpose
measure complexity knowledge,measure complexity knowledge,Purpose
map distribution knowledge complexity,map distribution knowledge complexity,Purpose
explore spatial diffusion knowledge,explore spatial diffusion knowledge,Purpose
investigate effects of collaboration networks on innovation,investigate effects of collaboration networks on innovation,Purpose
investigate international technology transfer,investigate international technology transfer,Purpose
examine cross-country differences,examine cross-country differences,Purpose
analyze sectoral-national intersections,analyze sectoral-national intersections,Purpose
evaluate efficacy and safety,evaluate efficacy and safety,Purpose
compare chinese patent medicine and western medicine,compare chinese patent medicine and western medicine,Purpose
introduction to economics of innovation,introduction to economics of innovation,Purpose
establish analytical framework,establish analytical framework,Purpose
seek key collaboration activities,seek key collaboration activities,Purpose
strategies,strategies,Purpose
explore evolutionary mechanisms,explore evolutionary mechanisms,Purpose
collaborative innovation network,collaborative innovation network,Purpose
understand roles of essential patents,understand roles of essential patents,Purpose
investigate knowledge positions,investigate knowledge positions,Purpose
explore strategic intentions,explore strategic intentions,Purpose
examine patent transactions,examine patent transactions,Purpose
identify the influence of network positions on exploratory innovation,identify the influence of network positions on exploratory innovation,Purpose
contingency mechanism,contingency mechanism,Purpose
analyze disaster AI,analyze disaster AI,Purpose
analyze patent documents,analyze patent documents,Purpose
identify technological trajectories,identify technological trajectories,Purpose
future directions,future directions,Purpose
knowledge streams,knowledge streams,Purpose
forecast future development,forecast future development,Purpose
UIC technology,UIC technology,Purpose
changes IPC time periods,changes IPC time periods,Purpose
compare development of blockchain technology and technological collaboration,compare development of blockchain technology and technological collaboration,Purpose
compare efficacy of different OCPM,compare efficacy of different OCPM,Purpose
therapeutic effect,therapeutic effect,Purpose
CP/CPPS with SD,CP/CPPS with SD,Purpose
analyze SOA patents,analyze SOA patents,Purpose
construct technology network,construct technology network,Purpose
long-term structural evolution,long-term structural evolution,Purpose
telecommunication switching industry,telecommunication switching industry,Purpose
technological change,technological change,Purpose
understand the development trend,understand the development trend,Purpose
technical hot spots,technical hot spots,Purpose
build citation network,build citation network,Purpose
evaluate therapeutic effectiveness,evaluate therapeutic effectiveness,Purpose
Chinese patent medicines,Chinese patent medicines,Purpose
red yeast rice,red yeast rice,Purpose
treatment hyperlipidaemia,treatment hyperlipidaemia,Purpose
Prevent recurrent stroke,Prevent recurrent stroke,Purpose
predict new technologies,predict new technologies,Purpose
identify key technology trends,identify key technology trends,Purpose
analyze political discourse,analyze political discourse,Purpose
close gap between approaches,close gap between approaches,Purpose
assess clinical efficacy,assess clinical efficacy,Purpose
Chinese patent medicine,Chinese patent medicine,Purpose
bradyarrhythmia,bradyarrhythmia,Purpose
Propose a patent analysis method using Bayesian network models,Propose a patent analysis method using Bayesian network models,Purpose
assess comparative effectiveness and safety,assess comparative effectiveness and safety,Purpose
evaluate efficacy of interventions for DKD,evaluate efficacy of interventions for DKD,Purpose
Identify optimal intervention for RA treatment,Identify optimal intervention for RA treatment,Purpose
Synthesize evidence for decision making,Synthesize evidence for decision making,Purpose
Chinese patent medicines combined with TACE,Chinese patent medicines combined with TACE,Purpose
primary liver cancer,primary liver cancer,Purpose
analyze technology trends,analyze technology trends,Purpose
identify core technologies,identify core technologies,Purpose
predict future technology,predict future technology,Purpose
assess the likelihood of breakthroughs by lone inventors,assess the likelihood of breakthroughs by lone inventors,Purpose
reveal research content,reveal research content,Purpose
reflect technical information,reflect technical information,Purpose
study development trends,study development trends,Purpose
Analyze machine learning patents using keyword networks and clique analysis,Analyze machine learning patents using keyword networks and clique analysis,Purpose
lower graft occlusion rates,lower graft occlusion rates,Purpose
best conduit for patency,best conduit for patency,Purpose
Study the Force of Science,Study the Force of Science,Purpose
investigate reliable data analysis,investigate reliable data analysis,Purpose
smart factory technologies,smart factory technologies,Purpose
technological convergence,technological convergence,Purpose
analyze dynamic change process,analyze dynamic change process,Purpose
cooperation network of enterprises,cooperation network of enterprises,Purpose
analyze WTE innovation network evolution,analyze WTE innovation network evolution,Purpose
investigate social network structure of WTE technologies,investigate social network structure of WTE technologies,Purpose
propose a new approach for partner selection,propose a new approach for partner selection,Purpose
evaluate closure of PFO,evaluate closure of PFO,Purpose
prevent subsequent neurological events,prevent subsequent neurological events,Purpose
measure technical innovation performance,measure technical innovation performance,Purpose
explore knowledge-creating alliance relationships,explore knowledge-creating alliance relationships,Purpose
assert existing latent information,assert existing latent information,Purpose
enhance exploration process,enhance exploration process,Purpose
use network visualization,use network visualization,Purpose
analyze network structure,analyze network structure,Purpose
evolution of relations,evolution of relations,Purpose
evaluate efficacy,evaluate efficacy,Purpose
Ziziphi Spinosae Semen,Ziziphi Spinosae Semen,Purpose
primary insomnia,primary insomnia,Purpose
fully data driven model,fully data driven model,Purpose
retrosynthetic reaction prediction,retrosynthetic reaction prediction,Purpose
sequence-to-sequence mapping,sequence-to-sequence mapping,Purpose
Analyze IoT patent trends between Korea and USA,Analyze IoT patent trends between Korea and USA,Purpose
quickly retrieve same or similar patents,quickly retrieve same or similar patents,Purpose
understand development,understand development,Purpose
discovery rules,discovery rules,Purpose
trace evolution,trace evolution,Purpose
examine technological convergence,examine technological convergence,Purpose
safety,safety,Purpose
precision,precision,Purpose
TMTP,TMTP,Purpose
COVID-19,COVID-19,Purpose
evaluate effectiveness of combining Chinese patent medicines and Western medicine,evaluate effectiveness of combining Chinese patent medicines and Western medicine,Purpose
identify problems to be solved,identify problems to be solved,Purpose
sustainable technology planning,sustainable technology planning,Purpose
strategic innovation,strategic innovation,Purpose
explore network measures,explore network measures,Purpose
extract more information,extract more information,Purpose
measurement of patent value,measurement of patent value,Purpose
compare efficacy and safety of Chinese patent medicines,compare efficacy and safety of Chinese patent medicines,Purpose
evaluate efficacy and safety of CPMs combined with ACEI/ARB,evaluate efficacy and safety of CPMs combined with ACEI/ARB,Purpose
compare nine Chinese patent medicines,compare nine Chinese patent medicines,Purpose
treat early diabetic kidney disease,treat early diabetic kidney disease,Purpose
evaluate patent value,evaluate patent value,Purpose
social network analysis,social network analysis,Purpose
compare efficacy of Chinese patent medicines,compare efficacy of Chinese patent medicines,Purpose
systematic comparison,systematic comparison,Purpose
provide evidence-based references,provide evidence-based references,Purpose
analyze patent co-ownership network,analyze patent co-ownership network,Purpose
study structural characteristics,study structural characteristics,Purpose
treatment of insomnia,treatment of insomnia,Purpose
