Id,Label,Type
patentometric analysis,patentometric analysis,Methodology
quantitative analysis,quantitative analysis,Methodology
network-based analysis,network-based analysis,Methodology
critical node analysis,critical node analysis,Methodology
core network analysis,core network analysis,Methodology
network measures analysis,network measures analysis,Methodology
graph representation learning,graph representation learning,Methodology
natural language processing,natural language processing,Methodology
entity resolution technique,entity resolution technique,Methodology
scrapping patent records,scrapping patent records,Methodology
text mining methods,text mining methods,Methodology
methodology from Jaffe et al. (1993),methodology from Jaffe et al. (1993),Methodology
controlling for inventors' mobility,controlling for inventors' mobility,Methodology
US patent citation information,US patent citation information,Methodology
categorise mobile firms,categorise mobile firms,Methodology
network centrality,network centrality,Methodology
negative binomial regression,negative binomial regression,Methodology
patent productivity analysis,patent productivity analysis,Methodology
social networks analysis,social networks analysis,Methodology
frequency analysis of patent networks,frequency analysis of patent networks,Methodology
co-occurrence patterns,co-occurrence patterns,Methodology
collaboration trends,collaboration trends,Methodology
Scopus database,Scopus database,Methodology
Lens database,Lens database,Methodology
case study on lithium-ion battery technology,case study on lithium-ion battery technology,Methodology
"dataset of 101,620 patent families","dataset of 101,620 patent families",Methodology
analyze core knowledge trajectory,analyze core knowledge trajectory,Methodology
???????????? ?????,???????????? ?????,Methodology
randomised controlled trials,randomised controlled trials,Methodology
Use network topology analysis to establish IPC network topology diagram,Use network topology analysis to establish IPC network topology diagram,Methodology
Analyze node global and local topology characteristics,Analyze node global and local topology characteristics,Methodology
Propose patent cluster map for blockchain-based 5G networks,Propose patent cluster map for blockchain-based 5G networks,Methodology
Downloading patents from Derwent Innovations Index,Downloading patents from Derwent Innovations Index,Methodology
Conducting main path analysis,Conducting main path analysis,Methodology
Patent information analysis,Patent information analysis,Methodology
Network co-citation analysis,Network co-citation analysis,Methodology
Word2Vec analysis,Word2Vec analysis,Methodology
IPC classification,IPC classification,Methodology
visualize two-mode networks by linking patent and industry codes,visualize two-mode networks by linking patent and industry codes,Methodology
conduct ANOVA using centrality indices from network graphs,conduct ANOVA using centrality indices from network graphs,Methodology
qualitative and quantitative perspectives,qualitative and quantitative perspectives,Methodology
social network metrics,social network metrics,Methodology
patent licensing data,patent licensing data,Methodology
1998–2013 period,1998–2013 period,Methodology
Form patent citation network,Form patent citation network,Methodology
Study growth and advancement,Study growth and advancement,Methodology
using data mining to discover similar patents,using data mining to discover similar patents,Methodology
projecting patents onto a semantic space,projecting patents onto a semantic space,Methodology
distributed representation of documents,distributed representation of documents,Methodology
using distance information to draw network,using distance information to draw network,Methodology
Integrate social network analysis and patent analysis,Integrate social network analysis and patent analysis,Methodology
Employ patent-based multi-level network model,Employ patent-based multi-level network model,Methodology
Use data from Derwent Innovation Index database,Use data from Derwent Innovation Index database,Methodology
Build patent-based multi-level network on patent risks,Build patent-based multi-level network on patent risks,Methodology
using primary survey data,using primary survey data,Methodology
using secondary patent data,using secondary patent data,Methodology
dynamic network analysis,dynamic network analysis,Methodology
Social network analysis of patent citations,Social network analysis of patent citations,Methodology
UCINET6 for centrality and efficiency measurement,UCINET6 for centrality and efficiency measurement,Methodology
Regression analysis to link network metrics with business performance,Regression analysis to link network metrics with business performance,Methodology
statistical method for quantitative patent analysis,statistical method for quantitative patent analysis,Methodology
text mining techniques,text mining techniques,Methodology
Bayesian additive regression trees,Bayesian additive regression trees,Methodology
patent co-inventor network,patent co-inventor network,Methodology
characteristics of application and granted patents,characteristics of application and granted patents,Methodology
empirical analysis using patents,empirical analysis using patents,Methodology
knowledge complexity index bimodal network models,knowledge complexity index bimodal network models,Methodology
Hidalgo Hausmann bimodal network models,Hidalgo Hausmann bimodal network models,Methodology
analysis based two million patent records,analysis based two million patent records,Methodology
US Patent Trademark Office data,US Patent Trademark Office data,Methodology
technological structure patent classes,technological structure patent classes,Methodology
patent classes activity 1975 2010,patent classes activity 1975 2010,Methodology
citation data indicate complex patents less cited,citation data indicate complex patents less cited,Methodology
statistical models,statistical models,Methodology
analyze patent coauthorship database,analyze patent coauthorship database,Methodology
technological structure network analysis,technological structure network analysis,Methodology
academic patents basis,academic patents basis,Methodology
longitudinal patent citation networks,longitudinal patent citation networks,Methodology
analyze for time period 2004-2012,analyze for time period 2004-2012,Methodology
two emerging sectors,two emerging sectors,Methodology
retrieval from 7 databases,retrieval from 7 databases,Methodology
screening data extraction quality assessment,screening data extraction quality assessment,Methodology
47 studies analyzed,47 studies analyzed,Methodology
historical overview institutions,historical overview institutions,Methodology
knowledge public good,knowledge public good,Methodology
economic design intellectual property,economic design intellectual property,Methodology
different models cumulative innovation,different models cumulative innovation,Methodology
relation competition licensing joint ventures,relation competition licensing joint ventures,Methodology
patent copyright enforcement litigation,patent copyright enforcement litigation,Methodology
private public funding relationships,private public funding relationships,Methodology
patent values return R&D investment,patent values return R&D investment,Methodology
intellectual property issues direct indirect network externalities,intellectual property issues direct indirect network externalities,Methodology
globalization,globalization,Methodology
patent data,patent data,Methodology
framework based on patent data,framework based on patent data,Methodology
divided into four groups,divided into four groups,Methodology
firm network data,firm network data,Methodology
joint patent data,joint patent data,Methodology
1980 to 2015,1980 to 2015,Methodology
patent citation network,patent citation network,Methodology
JTC1 member firms,JTC1 member firms,Methodology
United States Patent and Trademark Office database,United States Patent and Trademark Office database,Methodology
joint patent filing relationships identification belong to IPC Green Inventory,joint patent filing relationships identification belong to IPC Green Inventory,Methodology
R&amp;D collaboration networks in China consisted of 215 firms,R&amp;D collaboration networks in China consisted of 215 firms,Methodology
Negative binomial regression was used to analyse the influences of networks positions,Negative binomial regression was used to analyse the influences of networks positions,Methodology
the moderating effect of network density,the moderating effect of network density,Methodology
Bayesian network modeling,Bayesian network modeling,Methodology
factor analysis,factor analysis,Methodology
probability distribution,probability distribution,Methodology
graph theory,graph theory,Methodology
multivariate data analysis,multivariate data analysis,Methodology
knowledge persistence-based main path approach,knowledge persistence-based main path approach,Methodology
knowledge unconventionality metric,knowledge unconventionality metric,Methodology
identify technological trajectories,identify technological trajectories,Methodology
two-mode network analysis,two-mode network analysis,Methodology
four-stage IPC code,four-stage IPC code,Methodology
UIC innovation-technology network,UIC innovation-technology network,Methodology
social network analysis method,social network analysis method,Methodology
patent data comparison,patent data comparison,Methodology
searched databases,searched databases,Methodology
risk of bias,risk of bias,Methodology
statistical analysis,statistical analysis,Methodology
STATA,STATA,Methodology
WinBUGS,WinBUGS,Methodology
analyze patents,analyze patents,Methodology
construct technology network,construct technology network,Methodology
qualitative and quantitative methods,qualitative and quantitative methods,Methodology
patent citation network analysis,patent citation network analysis,Methodology
Hummon and Doreian method,Hummon and Doreian method,Methodology
knowledge persistence,knowledge persistence,Methodology
patent data collection,patent data collection,Methodology
patent overview analysis,patent overview analysis,Methodology
network creation,network creation,Methodology
O-I index analysis,O-I index analysis,Methodology
retrieve literature,retrieve literature,Methodology
randomized clinical trials,randomized clinical trials,Methodology
Stata 13.1 software,Stata 13.1 software,Methodology
Cochrane risk bias tool,Cochrane risk bias tool,Methodology
SUCRA curve,SUCRA curve,Methodology
Randomized trial needed,Randomized trial needed,Methodology
extract relevant patents,extract relevant patents,Methodology
identify technical keywords,identify technical keywords,Methodology
technology prospect analysis,technology prospect analysis,Methodology
establish IPC Temporal Network,establish IPC Temporal Network,Methodology
Discourse Network Analysis,Discourse Network Analysis,Methodology
qualitative content analysis,qualitative content analysis,Methodology
retrieval from databases,retrieval from databases,Methodology
literature screening,literature screening,Methodology
data extraction,data extraction,Methodology
bias risk assessment,bias risk assessment,Methodology
STATA software,STATA software,Methodology
Use Bayesian network models,Use Bayesian network models,Methodology
Represent relationships between variables,Represent relationships between variables,Methodology
Use International Patent Classification codes as variables,Use International Patent Classification codes as variables,Methodology
Obtain technological associations between codes,Obtain technological associations between codes,Methodology
Verify performance using retrieved patent documents,Verify performance using retrieved patent documents,Methodology
comprehensive literature search,comprehensive literature search,Methodology
Cochrane Risk of Bias Scale,Cochrane Risk of Bias Scale,Methodology
RCTs,RCTs,Methodology
head-to-head trials,head-to-head trials,Methodology
Network meta-analysis,Network meta-analysis,Methodology
Random-effects model,Random-effects model,Methodology
Stata 14.1 and WinBUGS 1.4.3,Stata 14.1 and WinBUGS 1.4.3,Methodology
Network Meta-analysis,Network Meta-analysis,Methodology
RevMan software,RevMan software,Methodology
R software,R software,Methodology
GeMTC software,GeMTC software,Methodology
PageRank algorithm,PageRank algorithm,Methodology
centrality measures,centrality measures,Methodology
network citation analysis,network citation analysis,Methodology
statistical network models,statistical network models,Methodology
analysis of patented inventions,analysis of patented inventions,Methodology
quantile regressions,quantile regressions,Methodology
topic analysis,topic analysis,Methodology
text mining software,text mining software,Methodology
inverse document frequency,inverse document frequency,Methodology
weighted adjacency matrix,weighted adjacency matrix,Methodology
degree of centrality,degree of centrality,Methodology
Text mining techniques,Text mining techniques,Methodology
TF-IDF weight,TF-IDF weight,Methodology
Keyword association,Keyword association,Methodology
Network structure analysis,Network structure analysis,Methodology
Clique analysis,Clique analysis,Methodology
Actor-Network Theory,Actor-Network Theory,Methodology
Socio-Semiotic Methods,Socio-Semiotic Methods,Methodology
Quantitative Methods Patents,Quantitative Methods Patents,Methodology
Qualitative Scientometrics,Qualitative Scientometrics,Methodology
Text Analysis,Text Analysis,Methodology
Sociology Semiotics,Sociology Semiotics,Methodology
data analysis,data analysis,Methodology
convergence assessment tools,convergence assessment tools,Methodology
International Patent Classification (IPC) visual networks,International Patent Classification (IPC) visual networks,Methodology
empirical investigation,empirical investigation,Methodology
dynamic change process,dynamic change process,Methodology
small-world effect,small-world effect,Methodology
cooperative patents data,cooperative patents data,Methodology
complex network theory,complex network theory,Methodology
joint filing patents data (2006-2015),joint filing patents data (2006-2015),Methodology
global network properties analysis,global network properties analysis,Methodology
actors centrality and collaboration relationships,actors centrality and collaboration relationships,Methodology
structured technology roadmap,structured technology roadmap,Methodology
patent information,patent information,Methodology
Bayesian network model,Bayesian network model,Methodology
bibliography with United States patents,bibliography with United States patents,Methodology
pooled ORs,pooled ORs,Methodology
NetMetaXL1.6-WinBUGS1 (statistical software),NetMetaXL1.6-WinBUGS1 (statistical software),Methodology
data envelopment analysis,data envelopment analysis,Methodology
joint-patent networks,joint-patent networks,Methodology
gathering and transforming patent data,gathering and transforming patent data,Methodology
OPS web service,OPS web service,Methodology
network visualization,network visualization,Methodology
case study,case study,Methodology
patent data from 1991 to 2010,patent data from 1991 to 2010,Methodology
Derwent Innovation Index,Derwent Innovation Index,Methodology
co-classification matrices,co-classification matrices,Methodology
Girvan-Newman algorithm,Girvan-Newman algorithm,Methodology
clustering process,clustering process,Methodology
four five-year windows,four five-year windows,Methodology
network Meta-analysis,network Meta-analysis,Methodology
Stata 15.0,Stata 15.0,Methodology
encoder-decoder architecture,encoder-decoder architecture,Methodology
recurrent neural networks,recurrent neural networks,Methodology
sequence-to-sequence mapping,sequence-to-sequence mapping,Methodology
US patent literature,US patent literature,Methodology
Keyword correlation,Keyword correlation,Methodology
Network construction,Network construction,Methodology
Social network analysis,Social network analysis,Methodology
analysis of patent examination,analysis of patent examination,Methodology
patent infringement search,patent infringement search,Methodology
theories related to patent infringement determination,theories related to patent infringement determination,Methodology
citation-based recursive ranking,citation-based recursive ranking,Methodology
reinforcement learning algorithm,reinforcement learning algorithm,Methodology
PageRank comparison,PageRank comparison,Methodology
regression and clustering,regression and clustering,Methodology
co-classification,co-classification,Methodology
portfolio matrices,portfolio matrices,Methodology
retrospective studies,retrospective studies,Methodology
searched electronic databases,searched electronic databases,Methodology
Stata 15,Stata 15,Methodology
Bayesian network meta-analysis,Bayesian network meta-analysis,Methodology
PubMed Embase Web of Science Cochrane Library search,PubMed Embase Web of Science Cochrane Library search,Methodology
Cochrane risk bias tool assessment,Cochrane risk bias tool assessment,Methodology
R 4.1.2 STATA 14.0 network meta analysis,R 4.1.2 STATA 14.0 network meta analysis,Methodology
keyword pattern matching,keyword pattern matching,Methodology
grammar-based text mining,grammar-based text mining,Methodology
co-word analysis,co-word analysis,Methodology
context-problem network,context-problem network,Methodology
network centrality measurement,network centrality measurement,Methodology
citation counts controls,citation counts controls,Methodology
community detection algorithms,community detection algorithms,Methodology
Cochrane bias risk assessment,Cochrane bias risk assessment,Methodology
Stata 13.0 software,Stata 13.0 software,Methodology
data synthesis,data synthesis,Methodology
surface under cumulative ranking curve,surface under cumulative ranking curve,Methodology
random effects model,random effects model,Methodology
SNA,SNA,Methodology
graphics and calculation,graphics and calculation,Methodology
Cochrane bias risk standard,Cochrane bias risk standard,Methodology
RevMan 5.3,RevMan 5.3,Methodology
Stata/MP 15.1,Stata/MP 15.1,Methodology
meta-analysis,meta-analysis,Methodology
