Id,Label,Type
previous work on patent analysis,previous work on patent analysis,Background
original data set on US inventors' patent applications at European Patent Office,original data set on US inventors' patent applications at European Patent Office,Background
previous work by Jaffe et al. (1993),previous work by Jaffe et al. (1993),Background
emergence of smartphones,emergence of smartphones,Background
global mobile firms,global mobile firms,Background
technological competition,technological competition,Background
mobile ecosystem,mobile ecosystem,Background
restricted geographical contexts,restricted geographical contexts,Background
innovation capacity organisations,innovation capacity organisations,Background
technological cooperation network,technological cooperation network,Background
patent applicants,patent applicants,Background
biorefineries produce value-added products,biorefineries produce value-added products,Background
sustainable model implementation,sustainable model implementation,Background
technical efficiency problems,technical efficiency problems,Background
economic feasibility problems,economic feasibility problems,Background
evolution of technologies and knowledge bases,evolution of technologies and knowledge bases,Background
incremental and cumulative innovation,incremental and cumulative innovation,Background
previous literature on trajectories,previous literature on trajectories,Background
???????????? ?????,???????????? ?????,Background
???????? ???,???????? ???,Background
controversial topics neonatal medicine,controversial topics neonatal medicine,Background
different pharmacotherapeutic options,different pharmacotherapeutic options,Background
practical challenge neonatologist,practical challenge neonatologist,Background
5G network has special communication and security requirements,5G network has special communication and security requirements,Background
Patent applications for 5G and blockchain combination are rapidly growing,Patent applications for 5G and blockchain combination are rapidly growing,Background
Lack of research on blockchain innovation path from patent perspective,Lack of research on blockchain innovation path from patent perspective,Background
Use of main path analysis on patents,Use of main path analysis on patents,Background
Logistics industry boundaries are blurring,Logistics industry boundaries are blurring,Background
Need for interdisciplinary technology fusion,Need for interdisciplinary technology fusion,Background
formulation of technology policies focusing on university,formulation of technology policies focusing on university,Background
characteristics and source of R&D funding,characteristics and source of R&D funding,Background
previous analytic researches not well developed,previous analytic researches not well developed,Background
globalization of regional innovation system,globalization of regional innovation system,Background
persistence of inter-regional hierarchy,persistence of inter-regional hierarchy,Background
Patent citation network analysis,Patent citation network analysis,Background
Social network analysis,Social network analysis,Background
Previous work on citations,Previous work on citations,Background
technology transfer refers to the transfer of patents,technology transfer refers to the transfer of patents,Background
companies build patent portfolio strategy,companies build patent portfolio strategy,Background
qualitative method has been used,qualitative method has been used,Background
method consumes a lot of time and money,method consumes a lot of time and money,Background
Assessing patent risks attracts attention,Assessing patent risks attracts attention,Background
Existing literature on risks and intellectual property,Existing literature on risks and intellectual property,Background
Define patent risks as lack of understanding distribution,Define patent risks as lack of understanding distribution,Background
social network analysis attracts increasing attention,social network analysis attracts increasing attention,Background
potential of network methodology to regional issues is far from exhausted,potential of network methodology to regional issues is far from exhausted,Background
theoretical challenges concerning static and dynamic analysis of networks,theoretical challenges concerning static and dynamic analysis of networks,Background
Quantitative analysis of patents for intellectual property management,Quantitative analysis of patents for intellectual property management,Background
Patent citation network analysis for technology flow and innovation,Patent citation network analysis for technology flow and innovation,Background
Previous studies on citation index and network analysis,Previous studies on citation index and network analysis,Background
patent data contains detailed information,patent data contains detailed information,Background
traditional methods based on qualitative approaches,traditional methods based on qualitative approaches,Background
recent introduction of statistical methods,recent introduction of statistical methods,Background
technologies are major resource,technologies are major resource,Background
competitive advantages,competitive advantages,Background
R&D effort aligned with strategic direction,R&D effort aligned with strategic direction,Background
consensus knowledge key drivers economic growth,consensus knowledge key drivers economic growth,Background
not all knowledge same value,not all knowledge same value,Background
obsessed counting inputs outputs,obsessed counting inputs outputs,Background
economic geography fields focus inputs outputs,economic geography fields focus inputs outputs,Background
scarce empirical studies,scarce empirical studies,Background
novel database on patent coauthorship,novel database on patent coauthorship,Background
university role in innovation changing,university role in innovation changing,Background
academic patents increased,academic patents increased,Background
network formation in emerging sectors,network formation in emerging sectors,Background
national and sectoral factors,national and sectoral factors,Background
neglected linking of factors,neglected linking of factors,Background
treatment of alzheimer's disease,treatment of alzheimer's disease,Background
network meta-analysis study,network meta-analysis study,Background
retrieval from 7 databases,retrieval from 7 databases,Background
interest in intellectual property exploded 1990s,interest in intellectual property exploded 1990s,Background
innovation incentives book,innovation incentives book,Background
collaboration innovations,collaboration innovations,Background
climate change,climate change,Background
environmental pollution,environmental pollution,Background
previous studies,previous studies,Background
inter-firm collaborative innovation network,inter-firm collaborative innovation network,Background
Korean ICT industry,Korean ICT industry,Background
joint patent data,joint patent data,Background
previous research on essential patents,previous research on essential patents,Background
network analysis for knowledge positions,network analysis for knowledge positions,Background
main-path in standards-based markets,main-path in standards-based markets,Background
patent transaction markets,patent transaction markets,Background
strategic intentions,strategic intentions,Background
thin film transistor liquid crystal display patents,thin film transistor liquid crystal display patents,Background
Existing studies find that exploratory innovation requires both access to heterogeneous resources,Existing studies find that exploratory innovation requires both access to heterogeneous resources,Background
high-quality cooperation to strengthen the absorption of heterogeneous knowledge,high-quality cooperation to strengthen the absorption of heterogeneous knowledge,Background
structural holes and prominent positions exert critical effects on exploratory innovation,structural holes and prominent positions exert critical effects on exploratory innovation,Background
Few existing studies have investigated the influences of the two positions on exploratory innovation simultaneously,Few existing studies have investigated the influences of the two positions on exploratory innovation simultaneously,Background
AI introduced in disaster area,AI introduced in disaster area,Background
previous work on disaster AI,previous work on disaster AI,Background
blockchain technology growth,blockchain technology growth,Background
tracing developmental trajectories,tracing developmental trajectories,Background
energy-saving environmental protection industry,energy-saving environmental protection industry,Background
UIC policymakers,UIC policymakers,Background
energy-saving enterprises R&amp;D activities low,energy-saving enterprises R&amp;D activities low,Background
existing literature lacks descriptions of cooperation characteristics and innovation landscape of blockchain,existing literature lacks descriptions of cooperation characteristics and innovation landscape of blockchain,Background
oral Chinese patent medicine,oral Chinese patent medicine,Background
western medicine,western medicine,Background
CP/CPPS with SD,CP/CPPS with SD,Background
no RCT comparison,no RCT comparison,Background
semiconductor optical amplifiers,semiconductor optical amplifiers,Background
previous studies focus on technical discussion,previous studies focus on technical discussion,Background
patent citation networks,patent citation networks,Background
evolutionary economics,evolutionary economics,Background
Sectoral System of Innovation,Sectoral System of Innovation,Background
previous research,previous research,Background
5G technology,5G technology,Background
patent analysis,patent analysis,Background
telecom industry,telecom industry,Background
evaluate therapeutic effectiveness,evaluate therapeutic effectiveness,Background
Chinese patent medicines,Chinese patent medicines,Background
red yeast rice,red yeast rice,Background
treatment hyperlipidaemia,treatment hyperlipidaemia,Background
Closure and OAT for PFO,Closure and OAT for PFO,Background
Previous studies on effectiveness,Previous studies on effectiveness,Background
big data-based smart logistics technology,big data-based smart logistics technology,Background
prior literature,prior literature,Background
industry reports,industry reports,Background
policy discourse approaches,policy discourse approaches,Background
actor-centered and content-oriented,actor-centered and content-oriented,Background
network Meta-analysis,network Meta-analysis,Background
randomized controlled trials,randomized controlled trials,Background
China National Knowledge Infrastructure,China National Knowledge Infrastructure,Background
Economic competitiveness depends on technological prowess,Economic competitiveness depends on technological prowess,Background
Patents are a representative index of technological competitiveness,Patents are a representative index of technological competitiveness,Background
Patent analysis is an efficient tool for technology management,Patent analysis is an efficient tool for technology management,Background
oral Chinese patent medicines combined chemotherapy,oral Chinese patent medicines combined chemotherapy,Background
DKD management with CPMs and ACEI/ARB,DKD management with CPMs and ACEI/ARB,Background
Rheumatoid arthritis is inflammatory disease,Rheumatoid arthritis is inflammatory disease,Background
CPMs are alternative remedies,CPMs are alternative remedies,Background
Previous studies on RA treatment,Previous studies on RA treatment,Background
oral Chinese patent medicines for primary liver cancer,oral Chinese patent medicines for primary liver cancer,Background
retrieved from databases,retrieved from databases,Background
Cochrane recommendation standard,Cochrane recommendation standard,Background
patent data analysis,patent data analysis,Background
USPTO data,USPTO data,Background
1985-2012,1985-2012,Background
technology trends,technology trends,Background
recent research on variance of creative outcome distributions,recent research on variance of creative outcome distributions,Background
keyword based technology prediction,keyword based technology prediction,Background
patent documents lack keyword information,patent documents lack keyword information,Background
limitations in revealing hidden topics,limitations in revealing hidden topics,Background
Machine learning patents collected,Machine learning patents collected,Background
Keyword network construction,Keyword network construction,Background
Clique analysis performed,Clique analysis performed,Background
RA and NT-SV associated,RA and NT-SV associated,Background
significantly lower graft occlusion,significantly lower graft occlusion,Background
Sociology of an Actor-Network,Sociology of an Actor-Network,Background
Electric Vehicle Case,Electric Vehicle Case,Background
Writing Science Fact Fiction,Writing Science Fact Fiction,Background
Analysis Process Reality Construction,Analysis Process Reality Construction,Background
Socio-Semiotic Methods,Socio-Semiotic Methods,Background
Technical Issues Developments Methodology,Technical Issues Developments Methodology,Background
Industry 4.0 evolution,Industry 4.0 evolution,Background
smart factory development,smart factory development,Background
technological convergence assessment,technological convergence assessment,Background
data networks and patents,data networks and patents,Background
patent cooperation network,patent cooperation network,Background
open innovation,open innovation,Background
limited empirical work,limited empirical work,Background
municipal solid waste increasing in China,municipal solid waste increasing in China,Background
waste-to-energy incineration technology booming,waste-to-energy incineration technology booming,Background
complex and systematic nature of WTE technologies,complex and systematic nature of WTE technologies,Background
previous studies on WTE innovation network,previous studies on WTE innovation network,Background
enhanced R&D cooperative efforts,enhanced R&D cooperative efforts,Background
innovation projects,innovation projects,Background
win-win alliances,win-win alliances,Background
RCTs on PFO closure,RCTs on PFO closure,Background
safety and efficacy of PFO closure,safety and efficacy of PFO closure,Background
data envelopment analysis,data envelopment analysis,Background
joint-patent networks,joint-patent networks,Background
knowledge-creating alliance relationships,knowledge-creating alliance relationships,Background
bibliometry coupling technique,bibliometry coupling technique,Background
patent data from OPS,patent data from OPS,Background
graph theory preliminaries,graph theory preliminaries,Background
patent data in Derwent Innovation Index,patent data in Derwent Innovation Index,Background
co-classification of Derwent Manual Code,co-classification of Derwent Manual Code,Background
previous work on technology fields,previous work on technology fields,Background
systematic evaluation,systematic evaluation,Background
efficacy,efficacy,Background
Ziziphi Spinos (Semen),Ziziphi Spinos (Semen),Background
retrosynthetic reaction prediction,retrosynthetic reaction prediction,Background
sequence-to-sequence mapping,sequence-to-sequence mapping,Background
machine translation,machine translation,Background
rule-based expert system,rule-based expert system,Background
Social network analysis of keyword community network in patents,Social network analysis of keyword community network in patents,Background
patent examination,patent examination,Background
patent infringement search,patent infringement search,Background
text mining,text mining,Background
patent citation network,patent citation network,Background
evolving graph,evolving graph,Background
innovation process,innovation process,Background
technological convergence,technological convergence,Background
patent data,patent data,Background
technological fields,technological fields,Background
safety,safety,Background
precision,precision,Background
TMTP,TMTP,Background
COVID-19,COVID-19,Background
stable angina high morbidity mortality,stable angina high morbidity mortality,Background
controversy optimal Chinese patent medicines,controversy optimal Chinese patent medicines,Background
strategic innovation,strategic innovation,Background
trending technologies,trending technologies,Background
patent statistics insight,patent statistics insight,Background
economics of innovation,economics of innovation,Background
patents heterogeneous impact,patents heterogeneous impact,Background
unstable angina pectoris treatment,unstable angina pectoris treatment,Background
previous studies on Chinese patent medicines,previous studies on Chinese patent medicines,Background
systematic review and network meta-analysis,systematic review and network meta-analysis,Background
previous studies on CPMs and DKD,previous studies on CPMs and DKD,Background
patent static characteristics,patent static characteristics,Background
dynamic citation relationship,dynamic citation relationship,Background
endometriosis treatment,endometriosis treatment,Background
Cochrane handbook,Cochrane handbook,Background
patent co-ownership network,patent co-ownership network,Background
Poland 2011,Poland 2011,Background
Polish Patent Office database,Polish Patent Office database,Background
