Id,Label,Type
"Expected increase in technology fusion with reverse logistics, cloud, automation","Expected increase in technology fusion with reverse logistics, cloud, automation",Results
idiosyncratic patterns in technology-industry networks,idiosyncratic patterns in technology-industry networks,Results
marginal differences between private and governmental funding groups,marginal differences between private and governmental funding groups,Results
difference in closeness centrality between the two groups,difference in closeness centrality between the two groups,Results
suggest policy directions for interdisciplinary research and technology accessibility,suggest policy directions for interdisciplinary research and technology accessibility,Results
anchor regions influence persists,anchor regions influence persists,Results
new cities enter network,new cities enter network,Results
five anchor regions identified,five anchor regions identified,Results
Growth and advancement of ICT patents,Growth and advancement of ICT patents,Results
Knowledge flow identification,Knowledge flow identification,Results
possible to visualize Google's patent portfolio strategy,possible to visualize Google's patent portfolio strategy,Results
discovered patents similar to each other,discovered patents similar to each other,Results
Lack of international collaborations leads to patent collaboration risks,Lack of international collaborations leads to patent collaboration risks,Results
Lack of overseas patent applications is key factor for market risks,Lack of overseas patent applications is key factor for market risks,Results
Leading assignees lack awareness of distribution in specific technological fields,Leading assignees lack awareness of distribution in specific technological fields,Results
U.S. assignees are powerful leaders in AI,U.S. assignees are powerful leaders in AI,Results
China has patent risks that hamper catch-up efforts,China has patent risks that hamper catch-up efforts,Results
network analysis has huge potential to enrich literature,network analysis has huge potential to enrich literature,Results
choice between primary and secondary data has strong implications for research questions,choice between primary and secondary data has strong implications for research questions,Results
Network centrality metrics positively affect business performance,Network centrality metrics positively affect business performance,Results
Efficiency negatively affects business performance,Efficiency negatively affects business performance,Results
Betweenness centrality is statistically significant in multiple regression,Betweenness centrality is statistically significant in multiple regression,Results
visualized patent keywords,visualized patent keywords,Results
constructed technology scenarios,constructed technology scenarios,Results
experimental results of patent analysis,experimental results of patent analysis,Results
clear strategic changes,clear strategic changes,Results
focal technologies,focal technologies,Results
business,business,Results
knowledge complexity unevenly distributed,knowledge complexity unevenly distributed,Results
cities complex technological structures not necessarily high patent rates,cities complex technological structures not necessarily high patent rates,Results
complex patents less likely cited different metropolitan areas,complex patents less likely cited different metropolitan areas,Results
spatial diffusion knowledge linked complexity,spatial diffusion knowledge linked complexity,Results
shorter path lengths correlate with increased innovation,shorter path lengths correlate with increased innovation,Results
larger connected components correlate with increased innovation,larger connected components correlate with increased innovation,Results
key technologies concentrated on measurement,key technologies concentrated on measurement,Results
nanotechnology medical technology biotechnology electric digital data processing,nanotechnology medical technology biotechnology electric digital data processing,Results
significantly varied networking activities,significantly varied networking activities,Results
influenced by national capability orientations,influenced by national capability orientations,Results
cross-country differences by technological path dependence,cross-country differences by technological path dependence,Results
chinese patent medicine superior to western medicine,chinese patent medicine superior to western medicine,Results
combined intervention more effective,combined intervention more effective,Results
lower adverse reaction risk,lower adverse reaction risk,Results
statistically significant differences in scores,statistically significant differences in scores,Results
ranking probability analysis first place,ranking probability analysis first place,Results
current controversies policy relevant topics,current controversies policy relevant topics,Results
difficulty enforcing copyright digital age,difficulty enforcing copyright digital age,Results
international protection intellectual property,international protection intellectual property,Results
critical nodes,critical nodes,Results
links in the network,links in the network,Results
business enterprises node major role,business enterprises node major role,Results
policy recommendations,policy recommendations,Results
complement technological resources,complement technological resources,Results
homophily mechanisms,homophily mechanisms,Results
limited expandability,limited expandability,Results
promote SMEs participation,promote SMEs participation,Results
brokerage-process approach better,brokerage-process approach better,Results
essential patents dominate transactions,essential patents dominate transactions,Results
strategic behavior of patents' owners and SSOs,strategic behavior of patents' owners and SSOs,Results
patent transaction markets highly structured,patent transaction markets highly structured,Results
core stratum controls most transactions,core stratum controls most transactions,Results
major transactors various value propositions,major transactors various value propositions,Results
four transactional typologies,four transactional typologies,Results
network prominence and structural holes have inverted U-shaped effects on exploratory innovation,network prominence and structural holes have inverted U-shaped effects on exploratory innovation,Results
The simultaneous occupation of prominent positions and structural holes hinders exploratory innovation,The simultaneous occupation of prominent positions and structural holes hinders exploratory innovation,Results
Network density exerts positive and negative effects on the relationships,Network density exerts positive and negative effects on the relationships,Results
conclusions drawn in this study provide a reference for R&amp;D network structural optimization,conclusions drawn in this study provide a reference for R&amp;D network structural optimization,Results
case study on patent data,case study on patent data,Results
application to real problem,application to real problem,Results
blockchain technology divided into five sub-technologies,blockchain technology divided into five sub-technologies,Results
high technological interactions,high technological interactions,Results
future directions for each sub-technology,future directions for each sub-technology,Results
important applicants,important applicants,Results
development trends energy saving technology,development trends energy saving technology,Results
China has rapid increase in blockchain patent applications,China has rapid increase in blockchain patent applications,Results
China has notable agglomeration in geographical areas,China has notable agglomeration in geographical areas,Results
US university or enterprise block has broader cooperation,US university or enterprise block has broader cooperation,Results
US university or enterprise block has deeper cooperation,US university or enterprise block has deeper cooperation,Results
Chinese university or enterprise block has more isolated blocks,Chinese university or enterprise block has more isolated blocks,Results
China has greater degree of cooperation of cooperative inventors,China has greater degree of cooperation of cooperative inventors,Results
US has greater influence of enterprises in cooperation,US has greater influence of enterprises in cooperation,Results
QLSTC + WM optimal for NIH-CPSI,QLSTC + WM optimal for NIH-CPSI,Results
CRYSG + WM optimal for IIEF-5,CRYSG + WM optimal for IIEF-5,Results
SGYYC + WM highest efficacy,SGYYC + WM highest efficacy,Results
LWDHP/YGC + WM optimal for clinical effective rate,LWDHP/YGC + WM optimal for clinical effective rate,Results
multiple OCPM + WM best for CP/CPPS with SD,multiple OCPM + WM best for CP/CPPS with SD,Results
critical SOA technologies,critical SOA technologies,Results
laser technologies dominate,laser technologies dominate,Results
development in semiconductor lasers,development in semiconductor lasers,Results
public sector and academia weak role,public sector and academia weak role,Results
government investment recommendation,government investment recommendation,Results
slow dynamics,slow dynamics,Results
radical technological change,radical technological change,Results
packet switching adaptation,packet switching adaptation,Results
knowledge clustering,knowledge clustering,Results
application trend,application trend,Results
technical hot spots,technical hot spots,Results
structure and characteristics,structure and characteristics,Results
flow of technology knowledge,flow of technology knowledge,Results
Xuezhikang highest probability,Xuezhikang highest probability,Results
Simvastatin second,Simvastatin second,Results
Zhibitai third,Zhibitai third,Results
reduce total cholesterol,reduce total cholesterol,Results
low-density lipoprotein,low-density lipoprotein,Results
triglyceride levels,triglyceride levels,Results
high-density lipoprotein,high-density lipoprotein,Results
Closure effective for stroke prevention,Closure effective for stroke prevention,Results
OAT effective for stroke prevention,OAT effective for stroke prevention,Results
Increased risk with closure,Increased risk with closure,Results
Increased risk with OAT,Increased risk with OAT,Results
growth stage characterized by continuous expansion,growth stage characterized by continuous expansion,Results
future-oriented upward trend,future-oriented upward trend,Results
forecast six innovative logistics technologies,forecast six innovative logistics technologies,Results
anti-software-patent coalition mobilized,anti-software-patent coalition mobilized,Results
gained control over frames,gained control over frames,Results
pro-software-patent coalition unable to gain sovereignty,pro-software-patent coalition unable to gain sovereignty,Results
total effective rate,total effective rate,Results
efficacy superior,efficacy superior,Results
statistically significant,statistically significant,Results
order of efficacy,order of efficacy,Results
Shenxian Shengmai Oral Liquid,Shenxian Shengmai Oral Liquid,Results
Shensong Yangxin Capsules,Shensong Yangxin Capsules,Results
Propose a patent analysis method using Bayesian network models,Propose a patent analysis method using Bayesian network models,Results
Obtain technological associations between codes,Obtain technological associations between codes,Results
Verify performance using retrieved patent documents related to BMW motor company,Verify performance using retrieved patent documents related to BMW motor company,Results
Bazhen granule ranked first effectiveness,Bazhen granule ranked first effectiveness,Results
Cinobufacin capsule priority effectiveness,Cinobufacin capsule priority effectiveness,Results
Xiao’aiping tablet best performance status,Xiao’aiping tablet best performance status,Results
Zhenqi Fuzheng granule best reduce leucopenia,Zhenqi Fuzheng granule best reduce leucopenia,Results
reducing UAER,reducing UAER,Results
lowering TRIG,lowering TRIG,Results
lowering TC,lowering TC,Results
lowering CRP,lowering CRP,Results
Biqi capsule and Yuxuebi capsule have favorable balance,Biqi capsule and Yuxuebi capsule have favorable balance,Results
Glucosides of Tripterygium Wilfordii tablet is least expensive,Glucosides of Tripterygium Wilfordii tablet is least expensive,Results
Recommendations for RA treatment,Recommendations for RA treatment,Results
advantages in effective rate,advantages in effective rate,Results
1-year survival rate,1-year survival rate,Results
2-year survival rate,2-year survival rate,Results
KPS score improvement rate,KPS score improvement rate,Results
reduced adverse reaction incidence,reduced adverse reaction incidence,Results
identify groups of technology,identify groups of technology,Results
find core technologies,find core technologies,Results
similar properties,similar properties,Results
collaboration reduces poor outcomes,collaboration reduces poor outcomes,Results
collaboration increases successful outcomes,collaboration increases successful outcomes,Results
diversity of technical experience mediates effects,diversity of technical experience mediates effects,Results
development limited by ethics law cellular pollution,development limited by ethics law cellular pollution,Results
future research optimize safety efficiency,future research optimize safety efficiency,Results
core themes highlighting themes emerging themes,core themes highlighting themes emerging themes,Results
meaningful conclusions obtained,meaningful conclusions obtained,Results
Low density and clustering coefficient,Low density and clustering coefficient,Results
Patents focus on applications rather than techniques,Patents focus on applications rather than techniques,Results
"2005 topics: news verification, product forecasting, virus detection, biomarkers, workflow management","2005 topics: news verification, product forecasting, virus detection, biomarkers, workflow management",Results
"2015 topics: digital imaging, payment card, calling system, mammogram system, price prediction","2015 topics: digital imaging, payment card, calling system, mammogram system, price prediction",Results
Clique analysis identifies specialized subjects and search keywords,Clique analysis identifies specialized subjects and search keywords,Results
comparably ranked as best conduit,comparably ranked as best conduit,Results
patency,patency,Results
Power Texts Science Technology,Power Texts Science Technology,Results
Mobilising Resources Texts,Mobilising Resources Texts,Results
Mapping Science Technology,Mapping Science Technology,Results
Pinpointing Industrial Invention,Pinpointing Industrial Invention,Results
Putting Texts Place,Putting Texts Place,Results
hidden linkages identification,hidden linkages identification,Results
smart factory case study,smart factory case study,Results
future sustainable technological developments,future sustainable technological developments,Results
decision making support,decision making support,Results
small-world effect,small-world effect,Results
network structure defects,network structure defects,Results
open innovation limitations,open innovation limitations,Results
strategic suggestions,strategic suggestions,Results
WTE innovation network is scale-free,WTE innovation network is scale-free,Results
first-movers control technological trajectories,first-movers control technological trajectories,Results
collaboration is multidisciplinary with larger technological distance,collaboration is multidisciplinary with larger technological distance,Results
high regime dependence in network evolution,high regime dependence in network evolution,Results
suggestions for benign development of WTE innovation network,suggestions for benign development of WTE innovation network,Results
select SMEs as R&D collaboration partners,select SMEs as R&D collaboration partners,Results
systematic and analytic approach for partnerships,systematic and analytic approach for partnerships,Results
PFO closure reduces stroke,PFO closure reduces stroke,Results
AMP device similar to HLX/CF,AMP device similar to HLX/CF,Results
no significant difference in TIA and bleeding,no significant difference in TIA and bleeding,Results
PFO closure increases AF risk,PFO closure increases AF risk,Results
tacit knowledge recombination,tacit knowledge recombination,Results
boundary spanning mechanism,boundary spanning mechanism,Results
strategic balancing networks' position,strategic balancing networks' position,Results
leading players,leading players,Results
discuss democratization of 3D printing,discuss democratization of 3D printing,Results
generic economic intelligence process,generic economic intelligence process,Results
key technological knowledge,key technological knowledge,Results
connections between fields,connections between fields,Results
dynamic evolution of networks,dynamic evolution of networks,Results
generic technology development,generic technology development,Results
evolution coincident with technological shifts,evolution coincident with technological shifts,Results
efficacy combination drugs,efficacy combination drugs,Results
sedative hypnotics,sedative hypnotics,Results
Chinese patent medicines,Chinese patent medicines,Results
alone,alone,Results
model performs comparably,model performs comparably,Results
overcomes limitations,overcomes limitations,Results
first step toward computational retrosynthetic analysis,first step toward computational retrosynthetic analysis,Results
Korea patents focus on core technologies,Korea patents focus on core technologies,Results
USA patents focus on applications,USA patents focus on applications,Results
Keyword community network analysis,Keyword community network analysis,Results
Prediction of patent content,Prediction of patent content,Results
improves speed of patent search,improves speed of patent search,Results
quickly accurately comprehensively retrieve same or equivalent patents,quickly accurately comprehensively retrieve same or equivalent patents,Results
improves efficiency of patent infringement detection,improves efficiency of patent infringement detection,Results
increases accuracy of detection,increases accuracy of detection,Results
protects interests of patent stakeholders,protects interests of patent stakeholders,Results
temporal evolution patent classes,temporal evolution patent classes,Results
interaction among patent classes,interaction among patent classes,Results
patterns identified,patterns identified,Results
need more work predictions,need more work predictions,Results
technological convergence management,technological convergence management,Results
convergence intensity,convergence intensity,Results
convergence rate,convergence rate,Results
coverage,coverage,Results
LHQW significant effects,LHQW significant effects,Results
improve expectoration,improve expectoration,Results
shortness breath,shortness breath,Results
sore throat,sore throat,Results
least adverse reactions,least adverse reactions,Results
XBJ best drug fever,XBJ best drug fever,Results
lower WBC levels,lower WBC levels,Results
XFBD most effective cough,XFBD most effective cough,Results
least exacerbation rate,least exacerbation rate,Results
JHQG effective rhinobyon,JHQG effective rhinobyon,Results
QFPD decrease CRP levels,QFPD decrease CRP levels,Results
OCPMs combined WM better than WM alone,OCPMs combined WM better than WM alone,Results
QSYQ WM highest ranking probability,QSYQ WM highest ranking probability,Results
QLQX WM best for weekly angina frequency,QLQX WM best for weekly angina frequency,Results
KXQW WM best for attack duration,KXQW WM best for attack duration,Results
TXL WM best for nitroglycerin usage,TXL WM best for nitroglycerin usage,Results
DL WM best for cardiovascular events,DL WM best for cardiovascular events,Results
SSYX WM least adverse reactions,SSYX WM least adverse reactions,Results
maximizing coupling efficiency,maximizing coupling efficiency,Results
minimizing DC signal components,minimizing DC signal components,Results
charging batteries,charging batteries,Results
meaningful information,meaningful information,Results
centrality negatively related market value,centrality negatively related market value,Results
patent pools lower centrality,patent pools lower centrality,Results
natural groups better classification,natural groups better classification,Results
Shenshao Capsules effectiveness,Shenshao Capsules effectiveness,Results
Naoxintags Capsules effectiveness,Naoxintags Capsules effectiveness,Results
Ginkgo Ketone Ester Dripping Pills effectiveness,Ginkgo Ketone Ester Dripping Pills effectiveness,Results
Tongxinluo Capsules effectiveness,Tongxinluo Capsules effectiveness,Results
Compound Danshen Dripping Pills effectiveness,Compound Danshen Dripping Pills effectiveness,Results
UCG improves urinary albumin excretion rate,UCG improves urinary albumin excretion rate,Results
CXC improves overall response rate,CXC improves overall response rate,Results
SSNT reduces serum creatinine and adverse effects,SSNT reduces serum creatinine and adverse effects,Results
BLC improves 24h urinary total protein and triglyceride,BLC improves 24h urinary total protein and triglyceride,Results
TG has highest cost-effectiveness,TG has highest cost-effectiveness,Results
patent value,patent value,Results
early warning mechanism,early warning mechanism,Results
Dan'e Fukang Plaster effective for VAS,Dan'e Fukang Plaster effective for VAS,Results
Xiaojin Capsules effective for CA125,Xiaojin Capsules effective for CA125,Results
Gongliuxiao Capsules effective for E2,Gongliuxiao Capsules effective for E2,Results
Guizhi Fuling Capsules effective for recurrence,Guizhi Fuling Capsules effective for recurrence,Results
inter-organizational focus,inter-organizational focus,Results
interregional level,interregional level,Results
research procedure discussed,research procedure discussed,Results
Tianmeng Liquid superior,Tianmeng Liquid superior,Results
effective rate,effective rate,Results
PSQI score improved,PSQI score improved,Results
safety improved,safety improved,Results
