Id,Label,Type,Full_Text
Paper_49,"최근 인공지능(AI) 및 사물인터넷, 빅데이터 등 활용한 기술이 발전함에 따라 산업 간의 ...",Paper,"최근 인공지능(AI) 및 사물인터넷, 빅데이터 등 활용한 기술이 발전함에 따라 산업 간의 경계가 사라지고 기술의 한계를 극복하기 위한 동종 및 이종 기술을 융합하는 혁신이 곳곳에서 일어나고 있다. 그중에서도 물류는 고객의 주문에서부터 배송까지의 과정을 다루는 영역으로 IT, 자동화, 예측, 운송, 창고, 저장 등 다양한 분야의 산업 기술들과의 융합이 일어나"
Paper_50,Although the formulation of technology policies fo...,Paper,"Although the formulation of technology policies focusing on university is a topic that has been well-discussed in academia, more analytic researches have not yet been developed. Especially, the charac"
Paper_51,Abstract This paper asks whether the technological...,Paper,Abstract This paper asks whether the technological development of a nation reduces the inter‐regional hierarchy in knowledge flow. We examine two scenarios that are the alternative to each other. The 
Paper_52,Patent citation network analysis is a useful metho...,Paper,"Patent citation network analysis is a useful method of identifying the knowledge flow of a technology from one country, institution or corporate to another. Whereas patent citation analysis involves s"
Paper_53,Technology transfer refers to the transfer of pate...,Paper,"Technology transfer refers to the transfer of patents from legal holders to others through joint research, mergers and acquisitions. Transferred patents apply to IP-R&D of received companies. In parti"
Paper_54,"In recent years, assessing patent risks has attrac...",Paper,"In recent years, assessing patent risks has attracted fast-growing attention from both researchers and practitioners in studies of technological innovation. Following the existing literature on risks "
Paper_55,Social network analysis attracts increasing attent...,Paper,Social network analysis attracts increasing attention in economic geography. We claim social network analysis is a promising tool for empirically investigating the structure and evolution of inter-org
Paper_56,최근 지식기반 사회의 진입과 더불어 지식재산에 대한 관심이 증가하고 있다. 특히 하이테크산...,Paper,"최근 지식기반 사회의 진입과 더불어 지식재산에 대한 관심이 증가하고 있다. 특히 하이테크산업을 이끌고 있는 ICT기업들은 지식재산의 체계적 관리를 위하여 끊임없이 노력하고 있다. 기업의 지적 자본을 대표하는 특허정보가 지속적으로 축적됨에 따라 정량적인 분석이 가능해졌다. 특허정보를 통하여 특허수준부터 기업수준, 산업수준, 국가 수준에 이르기 까지 다양한 수"
Paper_57,Patent analysis is to analyze patent data to under...,Paper,"Patent analysis is to analyze patent data to understand target technology. Patent data contains various detailed information about the developed technology. Therefore, many studies concerning patent a"
Paper_58,The aim of this paper is to propose a method to in...,Paper,"The aim of this paper is to propose a method to investigate a firm’s strategic changes. Technologies or technological capabilities are a major resource for achieving competitive advantages, so a firm’"
Paper_59,There is consensus among scholars and policy maker...,Paper,There is consensus among scholars and policy makers that knowledge is one of the key drivers of long-run economic growth. It is also clear from the literature that not all knowledge has the same value
Paper_60,Small-world networks have attracted much theoretic...,Paper,Small-world networks have attracted much theoretical attention and are widely thought to enhance creativity. Yet empirical studies of their evolution and evidence of their benefits remain scarce. We d
Paper_61,Abstract International technology transfer is a de...,Paper,Abstract International technology transfer is a determinant of a country’s national revenue and economic growth. Technology exported through international technology transfer can be the factor that gi
Paper_62,How do national factors intersect in network forma...,Paper,How do national factors intersect in network formation in different emerging sectors? Scholars have focused on these regarding networking phenomena: the effects of national and sectoral factors. In sp
Paper_63,The objective of this study was to evaluate the ef...,Paper,The objective of this study was to evaluate the efficacy and safety of Chinese patent medicine compared with western medicine in the treatment of Alzheimer’s disease using the Network Meta-analysis. T
Paper_64,Interest in intellectual property and other instit...,Paper,Interest in intellectual property and other institutions that promote innovation exploded during the 1990s. Innovation and Incentives provides a clear and wide-ranging introduction to the economics of
Paper_65,The development of green transportation technologi...,Paper,The development of green transportation technologies in China has grown rapidly due to increasing concerns about climate change and environmental pollution. Collaboration innovations covering kinds of
Paper_66,This study explores the evolutionary mechanisms of...,Paper,"This study explores the evolutionary mechanisms of the inter-firm collaborative innovation network in the Korean ICT industry, focusing on inter-firm homophily. Using firm network data based on a join"
Paper_67,Technology standards are considered important tool...,Paper,Technology standards are considered important tools for increasing bargaining power and licensing revenues by combining the strategies of firms with the standard-setting organizations (SSOs) standardi
Paper_68,Patent transactions have received considerable att...,Paper,Patent transactions have received considerable attention in the current technology transfer strategy. Patent transaction markets involve two major factors: 1) the market power of transactional negotia
Paper_69,Existing studies find that exploratory innovation ...,Paper,Existing studies find that exploratory innovation requires both access to heterogeneous resources for the establishment of novel knowledge combinations and high-quality cooperation to strengthen the a
Paper_70,"At present, artificial intelligence (AI) contribut...",Paper,"At present, artificial intelligence (AI) contributes to most technological fields. AI has also been introduced in the disaster area to replace humans and contribute to the prevention of disasters and "
Paper_71,The blockchain is a technology with high growth po...,Paper,"The blockchain is a technology with high growth potential that increases social benefits by streamlining procedures, reducing costs, and innovating the way we work. Considering the growth potential of"
Paper_72,Purpose This paper aims to forecast the future dev...,Paper,Purpose This paper aims to forecast the future development of UIC technology according to the changes of IPC in different time periods. The findings also provide a theoretical basis for the UIC policy
Paper_73,Blockchain has been regarded as an emerging global...,Paper,"Blockchain has been regarded as an emerging global phenomenon in the field of new technologies. However, the existing literature still lacks descriptions of the cooperation characteristics and innovat"
Paper_74,Background: Oral Chinese patent medicine (OCPM) co...,Paper,Background: Oral Chinese patent medicine (OCPM) combined with western medicine (WM) are believed to be effective for the therapy of chronic prostatitis/chronic pelvic pain syndrome (CP/CPPS) with sexu
Paper_75,"With the development of 5G, mobile communication, ...",Paper,"With the development of 5G, mobile communication, and optical communication technologies, semiconductor optical amplifiers (SOAs) have become an important research topic. However, most SOA-related stu"
Paper_76,This work focuses on the long-term structural evol...,Paper,"This work focuses on the long-term structural evolution of the telecommunication switching industry, analyzing both the technology and the firm level. The first contribution of this work is in the emp"
Paper_77,"In recent years, 5G has been the focus of research...",Paper,"In recent years, 5G has been the focus of research and development in the telecom industry. This paper aims to understand the development trend and technical hot spots of 5G technology through the pat"
Paper_78,Abstract Introduction The purpose of this study wa...,Paper,Abstract Introduction The purpose of this study was to evaluate the therapeutic effectiveness of Chinese patent medicines containing red yeast rice for the treatment of hyperlipidaemia. Methods Releva
Paper_79,These findings suggest that closure and OAT may be...,Paper,These findings suggest that closure and OAT may be equally effective in recurrent stroke prevention in patients with PFO. There is an increased risk of atrial fibrillation and bleeding with closure an
Paper_80,This study aims to predict new technologies by ana...,Paper,This study aims to predict new technologies by analyzing patent data and identifying key technology trends using a Temporal Network. We have chosen big data-based smart logistics technology as the sco
Paper_81,The study of policy discourse comprises actor-cent...,Paper,The study of policy discourse comprises actor-centered and content-oriented approaches. We attempt to close the gap between the two kinds of approaches by introducing a new methodology for the analysi
Paper_82,To assess the clinical efficacy of Chinese patent ...,Paper,To assess the clinical efficacy of Chinese patent medicine for bradyarrhythmia(BA) by using network Meta-analysis method. Relevant randomized controlled trials(RCTs) of Chinese patent medicine for BA 
Paper_83,Technology management is important to both compani...,Paper,"Technology management is important to both companies and nations. Recently, economic competitiveness for both depends on technological prowess. Patents are a representative index of technological comp"
Paper_84,Objectives . This network meta‐analysis (NMA) was ...,Paper,Objectives . This network meta‐analysis (NMA) was designed to assess the comparative effectiveness and safety of oral Chinese patent medicines combined with chemotherapy for gastric cancer on the Nati
Paper_85,CPMs + ACEI/ARB might be positive efficacious inte...,Paper,"CPMs + ACEI/ARB might be positive efficacious interventions from which patients with DKD will derive benefit. UCG + ACEI/ARB, JSB + ACEI/ARB, CXC + ACEI/ARB, and HKC + ACEI/ARB might be potentially th"
Paper_86,Abstract Background Rheumatoid arthritis (RA) is a...,Paper,Abstract Background Rheumatoid arthritis (RA) is a common inflammatory disease with a substantial burden for society and economic worldwide. Chinese patent medicines (CPMs) have gained attention as al
Paper_87,Network Meta-analysis was used to evaluate the eff...,Paper,Network Meta-analysis was used to evaluate the efficacy and safety of different oral Chinese patent medicines combined with transcatheter arterial chemoembolization(TACE) in the treatment of primary l
Paper_88,과학 기술의 발전은 사회를 급격하게 변화시켜 왔다. 특허 자료 분석은 현대 과학 기술의 흐...,Paper,과학 기술의 발전은 사회를 급격하게 변화시켜 왔다. 특허 자료 분석은 현대 과학 기술의 흐름을 이해하고 미래 유망기술을 예측할 수 있게 한다. 본 연구에서는 기술의 동향을 파악하고자 1985년과 2012년 사이에 미국 특허청에 등록된 특허를 중심으로 특허 인용 네트워크를 분석한다. 주요 기술군을 파악하기 위해 PageRank 알고리즘 외에 다양한 중심성 지
Paper_89,Are lone inventors more or less likely to invent b...,Paper,Are lone inventors more or less likely to invent breakthroughs? Recent research has attempted to resolve this question by considering the variance of creative outcome distributions. It has implicitly 
Paper_90,Technology forecasting research is an indispensabl...,Paper,"Technology forecasting research is an indispensable means to master the development trend of technology and provide decision support for scientific research management. For patent documents, it does n"
Paper_91,본 연구에서는 기계 학습 분야의 특허를 수집하여 키워드 네트워크를 구축하고 클릭 분석을 실...,Paper,"본 연구에서는 기계 학습 분야의 특허를 수집하여 키워드 네트워크를 구축하고 클릭 분석을 실시하였다. 먼저 텍스트 마이닝 기법을 적용하여 핵심 키워드들을 선정한 다음, 이 키워드를 기반으로 키워드 네트워크를 구축하였다. 다음으로 네트워크 구조 분석, 중요 키워드 분석 및 클릭 분석을 시행하여 2005년도와 2015년도에 출원된 기계 학습 특허의 동향을 파악하"
Paper_92,RA and NT-SV are associated with significantly low...,Paper,RA and NT-SV are associated with significantly lower graft occlusion rates and are comparably ranked as the best conduit for patency.
Paper_93,List of Figures - List of Tables - Acknowledgement...,Paper,"List of Figures - List of Tables - Acknowledgements - PART 1 INTRODUCTION - Introduction: How to Study the Force of Science M.Callon, J.Law and A.Rip - PART 2 THE POWER OF TEXTS IN SCIENCE AND TECHNOL"
Paper_94,The smart factory has evolved as a key and distinc...,Paper,The smart factory has evolved as a key and distinctive idea for Industry 4.0. These industries impart a significant influence on sustainable production because of their consistent industrial evolution
Paper_95,The patent cooperation network which enterprises j...,Paper,"The patent cooperation network which enterprises join is a very important network platform for enterprises’ open innovation. However, very limited work has been done to empirically investigate the dyn"
Paper_96,The municipal solid waste in China is increasing a...,Paper,The municipal solid waste in China is increasing at an unprecedented pace due to the upgrading urbanization and improving living standard. The waste-to-energy (WTE) incineration technology offers a vi
Paper_97,The objective of the study is to systematically ev...,Paper,The objective of the study is to systematically evaluate the efficacy of four Chinese patent medicines in combination with angiotensin-converting enzyme inhibitors/angiotensin receptor blockers (ACEI/
Paper_98,The enhanced R&amp;D cooperative efforts between l...,Paper,The enhanced R&amp;D cooperative efforts between large firms and small and medium-sized enterprises (SMEs) have been emphasized to perform innovation projects and succeed in deploying profitable busin
Paper_99,&lt;b&gt;&lt;i&gt;Background:&lt;/i&gt;&lt;/b&gt; ...,Paper,&lt;b&gt;&lt;i&gt;Background:&lt;/i&gt;&lt;/b&gt; Randomized-controlled trials (RCTs) reported a finding on the safety and efficacy of percutaneous patent foramen ovale (PFO) closure to prevent stroke
Paper_100,Abstract This paper collects 103 sample firms' 201...,Paper,Abstract This paper collects 103 sample firms' 2015 to 2019 data through data envelopment analysis to measure their technical innovation performance and social network analysis to build joint‐patent n
Paper_101,"In recent years, 5G has been the focus of research...",Paper,"In recent years, 5G has been the focus of research and development in the telecom industry. This paper aims to understand the development trend and technical hot spots of 5G technology through the pat"
Paper_102,Bibliometry coupling is used to process bibliograp...,Paper,Bibliometry coupling is used to process bibliographic data to assert existing latent information on publication material. We apply here this technique on patent data gathered from the OPS web service 
Paper_103,Purpose – The purpose of this paper is to analyze ...,Paper,"Purpose – The purpose of this paper is to analyze the network structure of technology in and between different fields, as well as the evolution of their relations. Design/methodology/approach – Using "
Paper_104,To systematically evaluate the efficacy of oral Ch...,Paper,"To systematically evaluate the efficacy of oral Chinese patent medicines of Ziziphi Spinosae Semen in the treatment of primary insomnia by using network Meta-analysis. Nine databases(CNKI, Wanfang, VI"
Paper_105,We describe a fully data driven model that learns ...,Paper,"We describe a fully data driven model that learns to perform a retrosynthetic reaction prediction task, which is treated as a sequence-to-sequence mapping problem. The end-to-end trained model has an "
Paper_106,본 연구에서는 한국과 미국의 사물 인터넷 관련 특허 초록을 수집하여 키워드 네트워크 및 키...,Paper,본 연구에서는 한국과 미국의 사물 인터넷 관련 특허 초록을 수집하여 키워드 네트워크 및 키워드 커뮤니티 네트워크를 구축하고 네트워크 분석을 실시하였다. 먼저 TF-IDF 가중치를 적용하여 중요 키워드를 추출하고 이 중요 키워드와 상관관계가 높은 키워드들을 재추출하여 핵심 키워드를 선정하였다. 선정된 키워드를 중심으로 키워드 네트워크를 구축한 다음 네트워크 
Paper_107,Purpose The purpose of this paper is to quickly re...,Paper,Purpose The purpose of this paper is to quickly retrieve the same or similar patents in a large patent database. Design/methodology/approach The research is carried out through the analysis of the iss
Paper_108,The network of patents connected by citations is a...,Paper,The network of patents connected by citations is an evolving graph that represents the innovation process of society. A patent citing another implies that the cited patent contains a piece of previous
Paper_109,An important feature in recent innovation trend is...,Paper,"An important feature in recent innovation trend is the merging and overlapping of technologies, i.e. the technological convergence. The paper proposes two approaches using patent data to examine the t"
Paper_110,Objective. To systematically evaluate the efficacy...,Paper,"Objective. To systematically evaluate the efficacy, safety, and precision of TMTP for COVID-19. Methods. Randomized controlled trials and retrospective studies were searched in 11 electronic databases"
Paper_111,Background: Stable angina is a common condition wi...,Paper,Background: Stable angina is a common condition with high morbidity and mortality rates. It has been reported that combining oral Chinese patent medicines (OCPMs) and Western medicine (WM) could poten
Paper_112,Identification of prevalent problems is an importa...,Paper,Identification of prevalent problems is an important process of strategic innovation for stakeholders of trending technologies. This paper proposes a systematic and replicable method of patent analysi
Paper_113,Patent statistics provide insight into a range of ...,Paper,"Patent statistics provide insight into a range of economic phenomena in the economics of innovation. Since the earliest research using patent data, it was recognized that patents are highly heterogene"
Paper_114,Network Meta-analysis was used to compare the effi...,Paper,"Network Meta-analysis was used to compare the efficacy and safety of Chinese patent medicines in the treatment of unstable angina pectoris. PubMed, Cochrane Library, CNKI, Wanfang, VIP and other datab"
Paper_115,"Objectives: To evaluate and compare the efficacy, ...",Paper,"Objectives: To evaluate and compare the efficacy, safety, and cost of nine Chinese patent medicines (CPMs) combined with angiotensin-converting enzyme inhibitor (ACEI) or angiotensin receptor blocker "
Paper_116,This study proposes a different angle to evaluate ...,Paper,"This study proposes a different angle to evaluate patent value, namely regarding patent value as a combination of static characteristics and dynamic relationship. On one hand, a majority of patent sta"
Paper_117,Network Meta-analysis was performed to systematica...,Paper,Network Meta-analysis was performed to systematically compare the efficacy of different Chinese patent medicines for activating blood and resolving stasis in the treatment of endometriosis and to prov
Paper_118,The paper presents the structural characteristics ...,Paper,"The paper presents the structural characteristics of the patent co-ownership network in Poland for the year 2011, which was identified with the use of database administered by the Polish Patent Office"
Paper_119,To evaluate the efficacy and safety of Chinese pat...,Paper,To evaluate the efficacy and safety of Chinese patent medicines in the treatment of insomnia by frequency network Meta-analysis. Randomized controlled trials of Chinese patent medicines for insomnia w
